PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Ronald Holland II,DET,19,5,2,3,6.7,97,97.2,-0.2,0,0,0,8.6,6.5,7.4,37.5,0,47.9,19.8,98.8,-3.9,67
Duncan Robinson,MIA,31,4,0,4,14.7,96.6,129.9,-33.3,2.6,0.17,4.5,0,7.7,3.7,27.3,50,53.9,15.7,95.28,0,117
Kel'el Ware,MIA,21,4,0,4,18.2,96.6,128.9,-32.3,9.8,2,16.7,5.7,20.5,13.3,8.3,52.8,52.8,12.5,94.82,8.6,145
Cole Anthony,ORL,25,5,1,4,10.1,95.8,112.9,-17.1,19.4,0.67,19.4,5.3,10.3,7.3,29,28.6,34.9,20.7,89.41,-6.3,96
Zach Edey,MEM,23,4,0,4,27,94.8,122,-27.2,10.1,1.17,21.9,9.2,16.8,13,18.8,66.7,69.1,9.2,101.89,8.4,231
Desmond Bane,MEM,26,4,0,4,34.8,94.4,119.3,-24.8,15.5,0.87,13.3,3.2,14.4,8.8,15.3,37.3,43.8,23.9,103.5,6.4,304
Tony Bradley,IND,27,4,2,2,4,94.1,80,14.1,15.4,0,66.7,14.3,20,17.6,0,0,0,2.7,103.93,10.1,34
Jaylin Williams,OKC,22,11,8,3,9.4,93.8,91.3,2.4,19,1.57,24.4,2.6,13.2,8.1,15.6,62.5,60.9,13.6,105.65,6.8,224
Luke Kennard,MEM,28,4,0,4,20,93.7,105.8,-12.1,16.7,1.33,25,2.6,13.3,8.4,18.8,50,50,12.4,103.89,8.2,175
Hunter Tyson,DEN,24,5,2,3,6,93.7,104.9,-11.3,13.3,2,13.3,12.9,17.4,14.8,6.7,55,63.8,17.3,98.87,16,63
Ryan Rollins,MIL,22,3,1,2,9.8,93.5,139,-45.4,23.5,0,23.5,2.8,5.3,3.6,0,38.5,38.5,18.1,98.3,2.6,62
Aaron Holiday,HOU,28,3,3,0,9.1,93.2,116.7,-23.4,21.4,3,18.8,4,3.8,3.9,6.3,50,51,20.3,105.15,3.9,59
Leonard Miller,MIN,21,2,2,0,2.6,92.3,81.8,10.5,0,0,0,14.3,33.3,20,0,50,50,11.8,109.71,21.7,13
Tristan da Silva,ORL,24,2,0,2,2.5,91.7,90.9,0.8,25,0.5,25,0,80,44.4,50,0,0,25,109.31,9.8,12
Cameron Payne,NYK,30,12,8,4,6.9,91.6,94,-2.4,15.2,1.17,17.1,0,7.1,3.8,14.6,42.6,42.4,18.3,96.08,-0.2,167
Peyton Watson,DEN,22,14,7,7,14.2,88.5,113.3,-24.8,3.5,0.5,5.1,5.9,13.6,9.4,10.1,46.6,47.7,14.9,101.07,6.5,416
Keshad Johnson,MIA,23,2,0,2,4.1,87.5,107.1,-19.6,0,0,0,9.1,0,5.3,50,100,100,9.5,88.52,2.1,16
Patty Mills,LAC,36,1,1,0,3.7,87.5,12.5,75,0,0,0,0,0,0,33.3,75,75,30,103.32,0,8
Marvin Bagley III,MEM,26,2,0,2,13.8,87.3,121,-33.7,0,0,0,5.9,12.5,9.1,25,94.4,94.4,16.7,108.54,16.6,63
Vlatko Čančar,DEN,28,3,2,1,3.6,87,126.1,-39.1,0,0,0,0,20,10.5,100,0,0,7.7,103.15,0,23
Pelle Larsson,MIA,24,4,0,4,13,86,138.2,-52.3,15.4,2,18.2,3.6,14.9,8.8,9.1,63.3,61.3,14.6,96.68,7.9,107
Josh Minott,MIN,22,2,2,0,3.2,85.7,84.6,1.1,33.3,0,25,0,0,0,0,33.3,33.3,16.7,101.51,9.1,14
Kenrich Williams,OKC,30,4,4,0,9.3,84.5,95.3,-10.8,9.5,1,8.7,5.1,26.8,16.3,8.7,23.5,29.3,23.9,109.42,8.4,84
Julian Strawther,DEN,23,9,4,5,9.7,84,107.2,-23.2,4.9,0.4,5,4.1,5.8,4.9,12.5,53.3,57.4,17.1,100.74,5.8,187
John Konchar,MEM,29,4,0,4,17.2,83.8,117,-33.2,14.6,3,31.6,3.7,14.1,8.5,10.5,38.9,51.1,7.3,107.33,5.9,154
Alex Len,LAL,31,2,0,2,1.8,83.3,66.7,16.7,0,0,0,42.9,33.3,40,0,0,0,9.1,78.23,37.5,6
Bronny James,LAL,20,2,0,2,1.8,83.3,66.7,16.7,0,0,0,0,0,0,0,0,0,18.2,78.23,-50,6
Dalton Knecht,LAL,24,2,0,2,1.8,83.3,66.7,16.7,0,0,0,28.6,33.3,30,0,50,50,45.5,78.23,100,6
Shake Milton,LAL,28,2,0,2,1.8,83.3,66.7,16.7,0,0,0,0,0,0,0,0,0,9.1,78.23,-50,6
Ajay Mitchell,OKC,22,5,4,1,7.6,82.8,88.4,-5.6,13.3,1,9.5,0,7.1,3.8,9.5,62.5,62.2,21.1,108.57,8.9,87
Zeke Nnaji,DEN,24,6,3,3,5.7,82.7,109.5,-26.8,10.5,1,13.3,8.3,13.8,10.8,13.3,18.8,31.6,14.9,104.03,-1.3,75
Johnny Furphy,IND,20,5,3,2,4.1,81.8,93.3,-11.5,6.7,0,25,5,11.1,8.5,0,0,0,6.4,104.18,-4.1,44
JD Davison,BOS,22,4,3,1,3.3,81.5,96.3,-14.8,37.5,3,23.1,5.6,18.2,10.3,7.7,18.8,22.5,30.3,97.93,1.3,27
Pat Connaughton,MIL,32,3,1,2,4.6,81.5,118.5,-37,14.3,1,9.1,0,28.6,8.7,9.1,31.3,33.8,32.3,94.6,0,27
Xavier Tillman,BOS,26,1,0,1,8.4,81.3,93.8,-12.5,0,0,0,7.7,28.6,15,0,25,25,20,91.79,7.7,16
Delon Wright,NYK,33,1,0,1,3.1,80,100,-20,0,0,0,0,0,0,0,0,0,0,77.42,0,5
Jaylen Clark,MIN,23,2,2,0,3.2,80,100,-20,0,0,0,0,14.3,6.7,50,0,113.6,10.5,107.3,7.1,15
P.J. Tucker,NYK,40,1,1,0,4.4,77.8,33.3,44.4,0,0,0,0,0,0,0,0,0,0,98.93,-20,9
Neemias Queta,BOS,25,4,3,1,3.2,76.9,107.7,-30.8,66.7,0,25,10.5,0,6.9,0,83.3,83.3,18.2,97.12,26.2,26
Jaime Jaquez Jr.,MIA,24,3,0,3,6.5,75,126.3,-51.3,11.1,1,11.1,12,5.9,9.5,11.1,16.7,29.1,16.7,96.52,0.7,40
James Johnson,IND,38,2,1,1,6.3,75,92.9,-17.9,33.3,2,28.6,0,5.9,3.3,14.3,66.7,64.4,17.2,106.11,19.7,28
Kyle Anderson,MIA,31,2,0,2,7,74.2,166.7,-92.5,11.1,1,25,0,7.7,3.4,25,0,0,8.8,104.73,-3,31
Jalen Pickett,DEN,25,8,4,4,7.2,73.3,117.1,-43.8,19.2,0.83,19.2,0,14.6,6.1,23.1,43.3,43.3,14.8,99.39,3.9,120
Jordan Walsh,BOS,21,5,4,1,3.1,73.3,96.8,-23.4,11.1,0,50,0,7.7,2.9,0,0,0,2.7,95.48,2.3,30
Maxi Kleber,LAL,33,1,0,1,5,70,80,-10,0,0,0,0,0,0,33.3,0,53.2,23.1,96.97,-16.7,10
Ousmane Dieng,OKC,21,3,2,1,4.4,69,100,-31,16.7,0,20,0,18.8,10.3,0,0,25.8,13.8,104.9,7.8,29
Dillon Jones,OKC,23,4,3,1,5.3,61.7,89.4,-27.7,12.5,0.25,11.1,0,12.5,6.5,44.4,66.7,77.3,17,107.16,7.5,47
Jay Huff,MEM,27,2,0,2,9,61,78,-17.1,16.7,1,12.5,5.9,8.7,7.5,12.5,50,69.4,16.7,109.61,25.4,41
Lamar Stevens,MEM,27,2,0,2,6,60.7,71.4,-10.7,25,1,9.1,0,26.7,14.3,9.1,22.2,22.2,34.5,111.83,0,28
Andre Jackson Jr.,MIL,23,2,0,2,2.4,60,88.9,-28.9,0,0,0,0,0,0,0,0,0,7.1,94.15,-11.8,10
Nate Williams,HOU,26,3,3,0,1.7,57.1,169.2,-112.1,0,0,0,0,0,0,50,0,0,13.3,130.91,-10.5,14
Cam Whitmore,HOU,20,3,3,0,1.8,53.3,171.4,-118.1,0,0,0,0,25,7.7,0,0,0,12.5,132.57,-3.2,15
Jeff Green,HOU,38,3,3,0,1.8,53.3,171.4,-118.1,0,0,0,11.1,0,7.7,0,50,50,18.8,132.57,4.8,15
Chris Livingston,MIL,21,2,0,2,2.3,50,88.9,-38.9,0,0,0,0,33.3,7.7,0,0,0,7.1,97.16,0,10
Reed Sheppard,HOU,20,3,3,0,3.3,48,158.3,-110.3,25,1,25,0,10,4.2,25,0,0,10.7,119.98,1.1,25
Jock Landale,HOU,29,1,1,0,4.9,36.4,145.5,-109.1,0,0,0,0,0,0,0,50,50,15.4,108.83,6.5,11
