PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Torrey Craig,BOS,34,5,4,1,4.2,122.5,110.3,12.2,16.7,3,37.5,9.5,15,12.2,12.5,75,75,10.4,90.36,10.5,40
Alec Burks,MIA,33,1,0,1,15.2,122.2,121.4,0.8,18.2,0,40,0,13.3,7.1,0,100,100,10,86.65,13.7,27
Jett Howard,ORL,21,1,0,1,3.8,122.2,111.1,11.1,0,0,0,0,0,0,0,150,150,22.2,113.19,23.3,9
Payton Pritchard,BOS,27,11,6,5,27.4,121.4,109.1,12.3,8.8,1.89,12.8,3.3,4.9,4.2,6.8,59.1,61.5,17.6,91.37,8.6,575
Sam Hauser,BOS,27,8,5,3,13.5,121.4,103.8,17.5,5.1,1.33,12.9,0,9.2,5.4,9.7,56.3,57.3,11.6,92.44,4.5,206
Aaron Nesmith,IND,25,10,8,2,29.6,121.1,112.3,8.8,7.2,2.29,12.1,5.8,15.1,10.9,5.3,65.2,67.2,17.1,100.27,10.2,617
Jaylon Tyson,CLE,22,4,3,1,7.7,121,75,46,33.3,3.5,25.9,11.5,10.8,11.1,7.4,63.3,68,28.2,98.66,21.2,62
Darius Garland,CLE,25,5,3,2,29.6,120.9,125.9,-5.1,27.7,1.73,21.3,0.6,7.9,3.9,12.3,49.3,56.6,27.9,96.39,8.1,297
Tyrese Haliburton,IND,25,10,8,2,34.1,120.8,109.9,10.9,37.3,4.43,35.8,0.9,13.6,7.8,8.1,55.6,59.1,21.3,100.86,14.8,720
Jalen Williams,OKC,24,11,8,3,35,119.7,104.4,15.3,22.7,3.94,21.9,3.1,10.9,7,5.6,48.1,52.2,24.3,101.62,12.8,808
Kevin Knox II,GSW,25,5,0,5,7.5,119.3,82.9,36.4,13.3,2,14.3,6.5,10,8.1,7.1,42.5,47.3,22.4,105.41,11.8,83
Obi Toppin,IND,27,10,8,2,16,119.1,121.4,-2.3,15.5,2,18.8,2.8,13.6,8.4,9.4,58.9,61.2,21,102.31,9.8,341
Andrew Nembhard,IND,25,10,8,2,32.8,119,109.3,9.7,25.1,3.53,31.1,1.6,7.9,5.1,8.8,60.6,62.9,17.9,99.56,11.4,680
Cason Wallace,OKC,21,11,8,3,21,117.9,92.1,25.8,13.6,3.13,27.8,3.7,8.4,6.1,8.9,51.8,52.4,11.5,103.78,7.1,492
Jaden McDaniels,MIN,24,10,8,2,36,117.9,105.2,12.7,5.5,1.18,8.9,5.2,11.4,8.5,7.5,59.8,63.1,16.2,92.68,11.1,694
Aaron Wiggins,OKC,26,11,8,3,14.1,117.7,95,22.7,8.8,1.25,10.5,5.9,11.5,8.7,8.4,52,53.8,22.1,104.03,10,334
Donovan Mitchell,CLE,28,9,5,4,32,117.6,112,5.6,23.2,2.06,12.5,3.4,11.3,7.1,6.1,51.5,57,34.5,99.29,15.9,601
Kawhi Leonard,LAC,33,7,3,4,37.8,117.6,119.5,-1.9,20.5,2.2,17.7,4.4,16.5,10.5,8.1,59.8,63,26.9,90.59,15.7,501
Alex Caruso,OKC,31,11,8,3,22.5,117.4,96.3,21.2,18.3,4.25,26.6,2.3,7.9,5.1,6.3,58.2,59.6,15.6,103.09,11.3,528
Dean Wade,CLE,28,9,5,4,15.7,117.3,110.8,6.5,5.3,2,22.2,6.7,21.9,13.7,11.1,41.7,41.7,6.1,100.09,5.5,295
Ivica Zubac,LAC,28,7,3,4,36.6,116.8,121.8,-4.9,9.5,1.45,13.2,11.6,18,14.9,9.1,65.9,65.3,19.1,90.78,11.9,487
Braxton Key,GSW,28,5,0,5,4.5,116.7,92.3,24.4,4.3,0.33,8.3,14.7,15.4,15,25,12.5,12.5,14.7,112.35,-1.8,54
Luke Kornet,BOS,29,11,6,5,16.4,116.6,108.1,8.5,4.2,1,11.9,9.2,13.6,11.6,11.9,72.4,76.9,9.2,92.46,10.9,349
Anthony Edwards,MIN,23,10,8,2,39.9,116.6,105.6,11,25.2,2.57,18.7,3.5,16.1,9.8,7.3,52.8,56.1,28,93.95,16.7,778
AJ Green,MIL,25,5,1,4,27,116.2,110.5,5.7,10.4,0,20,1.5,8.5,5.1,0,69.2,69,13.2,97.37,7.7,271
Shai Gilgeous-Alexander,OKC,26,11,8,3,36.6,116.1,101.4,14.7,28.8,3.18,19.3,3.2,11.1,7.1,6.1,51.5,58.6,29.8,101.18,18.3,845
Chet Holmgren,OKC,23,11,8,3,30.1,116.1,100,16.1,4.2,0.77,5.7,5.2,23.3,14.4,7.4,51.9,57.1,20.5,102.41,14.2,703
Kris Dunn,LAC,31,7,3,4,21.9,115.8,118.5,-2.7,7.8,9,16.7,7,9.7,8.4,1.9,50,50,13.6,91.43,5.5,292
Stephen Curry,GSW,37,8,5,3,35.1,115.7,112,3.7,25,1.52,19.7,0.7,13.9,7.2,13,60,63.6,26.5,93.24,15.2,548
Bobby Portis,MIL,30,5,1,4,31.7,115.7,111.1,4.5,6.9,1.17,8.6,4.7,19.8,12.1,7.4,51.5,51.1,20.3,97.34,9.6,319
Julius Randle,MIN,30,10,8,2,37.6,115.7,106.9,8.8,26.7,1.9,20.9,4.5,11.4,8,11,56.5,62,25.7,94.62,15.3,741
Mike Conley,MIN,37,10,8,2,24.3,115.6,106.4,9.2,22,4.75,33.6,5,8.6,6.8,7.1,46,50.1,13.6,92.04,8.4,467
Jordan Goodwin,LAL,26,4,1,3,7.8,115.6,100,15.6,8.7,2,22.2,7.4,7.9,7.7,11.1,20,25.5,9.5,96.67,-2.6,64
